,MODEL,C,Epsilon,Kernel,R2_fold1,R2_fold2,R2_fold3,R2_fold4,R2_fold5
141,SVR,45,0.1,poly,-0.14615345679444824,-0.14923280923226145,-0.14762554830466268,-0.16295481888823593,-0.14675225810868353
142,SVR,45,0.2,poly,-0.14611806866074084,-0.14924792782293084,-0.14729707305304762,-0.1626825930291087,-0.14675501874149166
143,SVR,45,0.3,poly,-0.14618406921059357,-0.14918349180740198,-0.14722035916957577,-0.1625327100129521,-0.146676688385595
144,SVR,45,0.4,poly,-0.14619342953953884,-0.14925836156668337,-0.14754158988146004,-0.16304926760164884,-0.1464776908414278
145,SVR,45,0.5,poly,-0.14603367457180627,-0.1491558510141937,-0.1469400992915435,-0.16175528080780577,-0.14640536541591564
146,SVR,50,0.1,poly,-1.663611560923386,-0.14285011011061743,-1.5441094086246872,-0.1571884290839971,-1.6125424039556453
147,SVR,50,0.2,poly,-1.6641513309867717,-0.1428664529591539,-1.5422378027758645,-0.1568927544248817,-1.6092808910703886
148,SVR,50,0.3,poly,-1.6638142407650136,-0.14279614497115722,-1.4992170139023688,-0.15673140575275313,-1.5972673142662854
149,SVR,50,0.4,poly,-1.6695641244231036,-0.14287770590414262,-1.5521156874003759,-0.155875309099466,-1.597136093771205
150,SVR,50,0.5,poly,-1.6638960432863006,-0.1427653192010112,-1.5004309872400334,-0.1558818576966312,-1.5390101450755473
151,SVR,55,0.1,poly,-1.2240359180444575,-1.3962742354217093,-1.1160021648823388,-0.15152021934351634,-1.1868428274080949
152,SVR,55,0.2,poly,-1.2197198694080353,-1.3821824450976963,-1.1133748772346945,-0.1512024555879503,-1.1852785216565844
153,SVR,55,0.3,poly,-1.2216908560368585,-1.3848980304803389,-1.0708057575278844,-0.15104541071676203,-1.1840911518032473
154,SVR,55,0.4,poly,-1.2260448109260818,-1.3783903194298013,-1.072982636386259,-0.1501048621813339,-1.1326061829332863
155,SVR,55,0.5,poly,-1.222953826053217,-1.3510006452688668,-1.0666352351373298,-0.15011186438961377,-1.126451142885685
156,SVR,60,0.1,poly,-0.8302440899693915,-1.0162477141992974,-0.7490477473428812,-0.1459501896667914,-0.8078930179663231
157,SVR,60,0.2,poly,-0.8276257467182875,-1.0026284954084206,-0.745036095545597,-0.14561169651831363,-0.8080471076360825
158,SVR,60,0.3,poly,-0.8292424002540533,-1.0077787973913508,-0.7087613833530428,-0.14500386728757508,-0.762312175579708
159,SVR,60,0.4,poly,-0.8322052453478448,-1.011514667716356,-0.7061430347731861,-0.14443788165801208,-0.7599813385156979
160,SVR,60,0.5,poly,-0.8359810347129322,-1.0021021084187618,-0.7024536900032512,-0.14446746234349317,-0.7505836190289936
161,SVR,65,0.1,poly,-0.5331594508919044,-0.663512817791104,-0.48307419886514036,-1.7112595738167529,-0.5230624860226261
162,SVR,65,0.2,poly,-0.5287226221421497,-0.651008977947438,-0.45444520803052213,-1.7067019817246094,-0.5181812719681027
163,SVR,65,0.3,poly,-0.530152902634524,-0.6530271193694581,-0.42026866386653605,-1.5339650966262566,-0.48152663816969676
164,SVR,65,0.4,poly,-0.5322994182609839,-0.6585982628408422,-0.44663444229893745,-1.4717792025666565,-0.42533325989250925
165,SVR,65,0.5,poly,-0.5199883692616374,-0.6521619154884879,-0.41779476980205277,-1.4400308377760287,-0.47199830140445065
